Borough,Code,Population,Households,Population_Density,Mean_Age,Employment_rate_(%)_(2015),Unemployment_rate_(2015),Proportion_of_working_age_with_degree_or_equivalent_and_above_(%)_2015,Modelled_Household_median_income_estimates_2012/13,Crime_rates_per_thousand_population_2014/15,Median_House_Price_2015,%_of_area_that_is_Greenspace_2005,Total_carbon_emissions_(2014),"Male_life_expectancy,_(2012-14)","Female_life_expectancy,_(2012-14)",Mortality_rate_from_causes_considered_preventable_2012/14
City of London,E09000001,8800,5326,30.3,43.2,64.6,6,50.1,"63,620",84.9,799999,4.8,1036,80.3,84.2,129
Barking and Dagenham,E09000002,209000,78188,57.9,32.9,65.8,11,32.2,"29,420",83.4,243500,33.6,644,77.6,82.1,228
Barnet,E09000003,389600,151423,44.9,37.3,68.5,8.5,49,"40,530",62.7,445000,41.3,1415,82.1,85.1,134
Bexley,E09000004,244300,97736,40.3,39,75.1,7.6,33.5,"36,990",51.8,275000,31.7,975,80.4,84.4,164
Brent,E09000005,332100,121048,76.8,35.6,69.5,7.5,45.1,"32,140",78.8,407250,21.9,1175,80.1,85.1,169
Bromley,E09000006,327900,140602,21.8,40.2,75.3,5.3,46.7,"43,060",64.1,374975,57.8,1180,81.4,84.9,148
Camden,E09000007,242500,107654,111.3,36.4,69.2,4,61.1,"43,750",123.5,700000,24.8,1288,81.8,86.7,164
Croydon,E09000008,386500,159010,44.7,37,75.4,4.1,40.6,"37,000",77,300000,37.1,1237,80.3,83.6,178
Ealing,E09000009,351600,132663,63.3,36.2,72.7,5.8,49.7,"36,070",75.5,430000,30.9,1342,80.6,84.2,164
Enfield,E09000010,333000,130328,41.2,36.3,73,3.8,43.4,"33,110",69.4,320000,45.6,1245,80.7,84.1,152
Greenwich,E09000011,280100,113964,59.2,35,72.1,8.1,42.2,"35,350",79.4,340000,34.4,1014,79,82.5,193
Hackney,E09000012,274300,115417,144,33.1,69,5.9,49.2,"35,140",99.6,485000,23.2,813,78.5,83.3,211
Hammersmith and Fulham,E09000013,185300,83552,113,35.7,77.5,4.7,67.5,"43,820",113.2,730000,19.1,809,79.7,84.1,187
Haringey,E09000014,278000,115608,93.9,35.1,71.3,5.7,49.2,"35,420",90.2,432500,25.5,773,80.1,84.9,183
Harrow,E09000015,252300,92557,50,38.3,73.9,4.6,47.9,"38,880",50.4,396150,34.6,748,82.7,86.1,134
Havering,E09000016,254300,104098,22.6,40.3,76.5,5.3,26,"36,670",62.9,287500,59.3,1032,80.2,83.9,159
Hillingdon,E09000017,301000,110827,26,36.4,73.2,5.8,40.2,"37,040",76.6,350000,49.2,1713,80.4,83.9,170
Hounslow,E09000018,274200,105887,49,35.8,74.2,4.3,45.5,"35,330",79.2,355000,39.6,1277,80,83.9,166
Islington,E09000019,231200,105038,155.6,34.8,72.6,4.5,62.7,"39,790",121.2,583000,12.4,878,79,83.5,203
Kensington and Chelsea,E09000020,159000,80200,131.1,39.3,68.2,4.2,65.2,"55,620",120.9,1200000,15.1,1154,83.3,86.4,136
Kingston upon Thames,E09000021,175400,69849,47.1,37.1,74.4,4.5,53.7,"43,940",58.5,410000,36.4,678,82,84.6,141
Lambeth,E09000022,328900,144400,122.7,34.5,78.5,5.9,65,"38,490",104.6,450000,17.3,1091,78.9,83.3,205
Lewisham,E09000023,303400,131076,86.3,35,75.9,5.7,53.3,"35,900",77,352000,22.5,825,79,83.4,191
Merton,E09000024,208100,84201,55.3,36.7,78.8,4.6,58,"41,960",59.7,415000,34.6,691,80.4,84.2,162
Newham,E09000025,342900,119172,94.7,32.1,66.2,9.1,43.4,"28,780",90.8,305000,23.9,1261,78.5,83,193
Redbridge,E09000026,304200,110708,53.9,35.8,68.3,7.9,44.7,"36,860",69.7,345000,40.6,874,80.9,84.6,142
Richmond upon Thames,E09000027,197300,85108,34.4,38.8,79.6,3.8,69.5,"53,470",56.3,575000,50.8,790,82.4,86,137
Southwark,E09000028,314300,134254,108.9,34.4,74.2,7.7,56.8,"37,100",100.6,475000,24.9,1169,78.9,83.9,207
Sutton,E09000029,202600,85243,46.2,38.9,78.2,5.5,42.5,"39,940",55.9,320000,32,666,80.9,83.4,163
Tower Hamlets,E09000030,304000,123720,153.7,31.4,70.4,9.2,45.7,"34,930",99.9,415000,15.2,1703,78.1,82.5,239
Waltham Forest,E09000031,276200,105981,71.2,35.1,73.1,5.4,42.6,"33,080",78,366569,31.4,780,79.4,83.8,185
Wandsworth,E09000032,321000,138149,93.7,35,78.8,5.7,66.4,"47,480",72.6,557000,26.9,1038,79.5,83.7,177
Westminster,E09000033,242100,118975,112.7,37.7,65.6,8.8,63.6,"47,510",212.4,920000,38.2,2502,82.3,86.3,162
