Code,Median_Household_Income,Median_House_Price,Housing_Affordability
E09000001,63620,799999,12.6
E09000002,29420,243500,8.3
E09000003,40530,445000,11
E09000004,36990,275000,7.4
E09000005,32140,407250,12.7
E09000006,43060,374975,8.7
E09000007,43750,700000,16
E09000008,37000,300000,8.1
E09000009,36070,430000,11.9
E09000010,33110,320000,9.7
E09000011,35350,340000,9.6
E09000012,35140,485000,13.8
E09000013,43820,730000,16.7
E09000014,35420,432500,12.2
E09000015,38880,396150,10.2
E09000016,36670,287500,7.8
E09000017,37040,350000,9.4
E09000018,35330,355000,10
E09000019,39790,583000,14.7
E09000020,55620,1200000,21.6
E09000021,43940,410000,9.3
E09000022,38490,450000,11.7
E09000023,35900,352000,9.8
E09000024,41960,415000,9.9
E09000025,28780,305000,10.6
E09000026,36860,345000,9.4
E09000027,53470,575000,10.8
E09000028,37100,475000,12.8
E09000029,39940,320000,8
E09000030,34930,415000,11.9
E09000031,33080,366569,11.1
E09000032,47480,557000,11.7
E09000033,47510,920000,19.4
